restaurant,item,calories,sodium,sugar,total_fat,protein
Mcdonalds,Artisan Grilled Chicken Sandwich,380,1110,11,7,37.0
Mcdonalds,Single Bacon Smokehouse Burger,840,1580,18,45,46.0
Mcdonalds,Double Bacon Smokehouse Burger,1130,1920,18,67,70.0
Mcdonalds,Grilled Bacon Smokehouse Chicken Sandwich,750,1940,18,31,55.0
Mcdonalds,Crispy Bacon Smokehouse Chicken Sandwich,920,1980,18,45,46.0
Mcdonalds,Big Mac,540,950,9,28,25.0
Mcdonalds,Cheeseburger,300,680,7,12,15.0
Mcdonalds,Classic Chicken Sandwich,510,1040,6,24,25.0
Mcdonalds,Double Cheeseburger,430,1040,7,21,25.0
Mcdonalds,Double Quarter Pounder® with Cheese,770,1290,10,45,51.0
Mcdonalds,Filet-O-Fish®,380,640,5,18,15.0
Mcdonalds,Garlic White Cheddar Burger,620,790,11,34,32.0
Mcdonalds,Grilled Garlic White Cheddar Chicken Sandwich,530,1150,11,20,42.0
Mcdonalds,Crispy Garlic White Cheddar Chicken Sandwich,700,1190,11,34,33.0
Mcdonalds,Hamburger,250,480,6,8,13.0
Mcdonalds,Lobster Roll,290,630,3,5,24.0
Mcdonalds,Maple Bacon Dijon 1/4 lb Burger,640,1260,10,36,37.0
Mcdonalds,Grilled Maple Bacon Dijon Chicken Sandwich,580,1890,14,21,48.0
Mcdonalds,Crispy Maple Bacon Dijon Chicken Sandwich,740,1780,14,35,39.0
Mcdonalds,McChicken,350,600,5,15,15.0
Mcdonalds,McDouble,380,840,7,18,23.0
Mcdonalds,McRib,480,870,12,22,25.0
Mcdonalds,Pico Guacamole 1/4 lb Burger,580,920,7,33,29.0
Mcdonalds,Grilled Pico Guacamole Chicken Sandwich,520,1540,12,18,40.0
Mcdonalds,Crispy Pico Guacamole Chicken Sandwich,680,1430,12,32,31.0
Mcdonalds,Premium Buttermilk Crispy Chicken Deluxe Sandwich,570,1050,11,23,28.0
Mcdonalds,Premium Crispy Chicken Deluxe Sandwich,530,1000,13,22,25.0
Mcdonalds,Quarter Pounder® with Cheese,530,1090,10,27,31.0
Mcdonalds,Signature Sriracha Burger,670,1010,13,35,32.0
Mcdonalds,Grilled Signature Sriracha Chicken Sandwich,560,1550,14,20,41.0
Mcdonalds,Crispy Signature Sriracha Chicken Sandwich,730,1430,13,33,32.0
Mcdonalds,Sweet BBQ Bacon 1/4 lb Burger,690,1310,14,37,38.0
Mcdonalds,Grilled Sweet BBQ Bacon Chicken Sandwich,630,1930,18,22,48.0
Mcdonalds,Crispy Sweet BBQ Bacon Chicken Sandwich,800,1820,18,36,39.0
Mcdonalds,3 piece Buttermilk Crispy Chicken Tenders,370,910,0,21,28.0
Mcdonalds,4 piece Buttermilk Crispy Chicken Tenders,480,1290,1,28,38.0
Mcdonalds,6 piece Buttermilk Crispy Chicken Tenders,760,1890,1,44,58.0
Mcdonalds,10 piece Buttermilk Crispy Chicken Tenders,1210,3230,4,70,94.0
Mcdonalds,12 piece Buttermilk Crispy Chicken Tenders,1510,3770,2,88,115.0
Mcdonalds,20 piece Buttermilk Crispy Chicken Tenders,2430,6080,3,141,186.0
Mcdonalds,4 Piece Chicken McNuggets,180,340,0,11,10.0
Mcdonalds,6 Piece Chicken McNuggets,270,510,0,16,15.0
Mcdonalds,10 Piece Chicken McNuggets,440,840,0,27,24.0
Mcdonalds,20 Piece Chicken McNuggets,890,1680,0,53,49.0
Mcdonalds,40 piece Chicken McNuggets,1770,3370,1,107,98.0
Mcdonalds,4 piece Sweet N' Spicy Honey BBQ Glazed Tenders,640,1780,35,27,39.0
Mcdonalds,6 piece Sweet N' Spicy Honey BBQ Glazed Tenders,960,2670,52,40,58.0
Mcdonalds,10 piece Sweet N' Spicy Honey BBQ Glazed Tenders,1600,4450,87,66,97.0
Mcdonalds,Premium Asian Salad w/o Chicken,140,20,7,7,7.0
Mcdonalds,Premium Asian Salad w/ Grilled Chicken,270,740,10,9,31.0
Mcdonalds,Premium Asian Salad w/ Crispy Chicken,490,1120,4,28,33.0
Mcdonalds,Premium Bacon Ranch Salad w/o Chicken,190,660,3,12,14.0
Mcdonalds,Premium Bacon Ranch Salad w/ Grilled Chicken,320,1230,4,14,42.0
Mcdonalds,Premium Bacon Ranch Salad w/ Crispy Chicken,490,1120,4,28,33.0
Mcdonalds,Premium Southwest Salad w/o Chicken,220,500,9,10,8.0
Mcdonalds,Premium Southwest Salad w/ Grilled Chicken,350,1070,9,12,37.0
Mcdonalds,Premium Southwest Salad w/ Crispy Chicken,520,960,9,25,28.0
Chick Fil-A,Chargrilled Chicken Club Sandwich,430,1120,7,16,37.0
Chick Fil-A,Chargrilled Chicken Sandwich,310,820,7,6,29.0
Chick Fil-A,Chick-n-Slider,270,800,4,11,16.0
Chick Fil-A,1 Piece Chick-n-Strips,120,320,1,6,11.0
Chick Fil-A,2 Piece Chick-n-Strips,230,630,1,12,22.0
Chick Fil-A,3 Piece Chick-n-Strips,350,940,3,17,28.0
Chick Fil-A,4 piece Chick-n-Strips,470,1250,4,23,37.0
